,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlet,DVR,Serial Number,Local IP,Port,MAC Address,Version,Device Type,Device Model,Build,Power Adapter/Cord,Video Input,Total Channel,NIC Speed,HDD Total Space,Hardware Version,Software Version,System version,Web version,ONVIFServer version,ONVIFClient version,SecurityBaseline Version,Firmware Version,Location,Warranty,Hybrid,WIP,P2P QR,,,
PSL,2,5C03122PAZ7E3BF,192.168.1.4,37780,9C:14:63:90:79:02,English,HCVR,DH-XVR5116HS-X,02-04-19,12.0V 2.0A,16,16/24,100Mbps,4TB,V1.0,V4.000.0000002.4,V4.000.0000002.4,V3.2.7.113072,16.12(V1.2.3.675222),NULL,V2.0,,back of the office ,,,,,,,
PSL,3,AG0E289PAZ1578F,192.168.1.5,37782,f8:ce:07:3f:26:02,Chinese,HCVR,DH/HCVR5232AN-V7/-AF-DVR-II-A/32-1,08-04-24,250.0V 13.0A,14,32/48,100Mbps,16TB,V2.0,V4.000.0000001.3.R,V4.000.0000001.3.R,V5.21.0.240319.12466932,23.12(V3.1.0.1787642),V2.4.1,V2.4,,back of the office ,,,,,,,
SAM,1,AG0E289PAZA8293,192.168.1.9,37777,f8:ce:07:3f:25:f8,Chinese,HCVR,DH/HCVR5232AN-V7/-AF-DVR-II-A/32-1,08-04-24,250.0V 13.0A,32,32/48,100Mbps,16TB,V2.0,V4.000.0000001.3.R,V4.000.0000001.3.R,V5.21.0.240319.12466932,23.12(V3.1.0.1787642),V2.4.1,V2.4,,back of the office ,,,,,,,
SBS,1,4M0228PZA0E2512,192.168.1.31,37777,08:ED:ED:89:E4:D9,English,NVR,DH-NVR4232-4KS2,18-12-19,12.0V 4.0A,22,32,300Mbps,6TB & 6TB,V1.0,V4.000.0000001.5,V4.000.0000001.5,V3.2.7.124927,18.12(V2.4.5.752813),V2.4.1,V2.0,,,,,,,,,
SBS,2,6E017C5PAZ4B970,192.168.1.32,37780,08:ED:ED:B8:E3:4F,Chinese,NVR,DH-NVR4432-HDS2,18-12-19,250.0V 13.0A,11,32,300Mbps,10TB & 10TB,V1.0,V4.000.0000001.5,V4.000.0000001.5,V3.2.7.124927,18.12(V2.4.5.752813),V2.4.1,V2.0,,,,,,,,,
SBS,3,AG0E289PAZCA3F6,192.168.1.33,37782,f8:ce:07:3f:25:fd,Chinese,HCVR,DH/HCVR5232AN-V7/-AF-DVR-II-A/32-1,08-04-24,250.0V 13.0A,14,32/48,300Mbps,16TB,V2.0,V4.000.0000001.3.R,V4.000.0000001.3.R,V5.21.0.240319.12466932,23.12(V3.1.0.1787642),V2.4.1,V2.4,,,,,,,,,
SGM,1,4L0345BPBQF0F34,192.168.1.3,37777,9C:14:63:1D:5B:6C,English,DVR,DH-XVR4116HS-X,27-11-18,12.0V 5.0A,16,16/24,100Mbps,4TB,V1.0,V4.000.0000001.12,V4.000.0000001.12,V3.2.7.106706,16.12(V1.2.2.596777),NULL,V1.3,,,,,,,,,
SGM,2,4L0345BPBQF12FC,192.168.1.4,37780,9C:14:63:1D:5B:6D,English,DVR,DH-XVR4116HS-X,27-11-18,12.0V 5.0A,16,16/24,100Mbps,4TB,V1.0,V4.000.0000001.12,V4.000.0000001.12,V3.2.7.106706,16.12(V1.2.2.596777),NULL,V1.3,,,,,,,,,
SGM,3,6J00AFEPAZ7BF90,192.168.1.5,37781,BC:32:5F:72:A5:D0,English,DVR,DH-XVR7216A-4KL-I,28-02-20,12.0V 5.0A,16,16/24,100Mbps,4TB,v1.0,V4.001.0000000.3,V4.001.0000000.3,V3.2.7.126721,16.12(V1.2.3.728802),NULL,V2.1,,,,,,,,,
SGM,4,AH0CE6CPAZ66A48,192.168.1.6,37782,f8:ce:07:9d:d0:be,Chinese,HCVR,DH/HCVR5232AN-V7/-AF-DVR-II-A/32-1,08-04-24,250.0V 13.0A,24,32/48,100Mbps,16TB,V2.0,V4.000.0000001.3.R,V4.000.0000001.3.R,V5.21.0.240319.12466932,23.12(V3.1.0.1787642),V2.4.1,V2.4,,,,,,,,,
SMT,1,4L032B9PAZ36640,192.168.1.3,37780,9C:14:63:24:50:78,English,HCVR,DH-XVR5116HS-X,23-08-18,12.0V 2.0A,16,16/24,100Mbps,2TB,V1.0,4.000.0000001.9,4.000.0000001.9,3.2.7.101581,16.12(V1.2.2.596777),NULL,V1.2,,,,,,,,,
SMT,2,4L032B9PAZ543D8,192.168.1.4,37777,9C:14:63:24:51:31,English,HCVR,DH-XVR5116HS-X,23-08-18,12.0V 2.0A,16,16/24,100Mbps,2TB,V1.0,4.000.0000001.9,4.000.0000001.9,3.2.7.101581,16.12(V1.2.2.596777),NULL,V1.2,,,,,,,,,
SMT,3,AG0E289PAZ0DE6F,192.168.1.5,37782,f8:ce:07:3f:26:0d,Chinese,HCVR,DH/HCVR5232AN-V7/-AF-DVR-II-A/32-1,08-04-24,250.0V 13.0A,,32/48,100Mbps,16TB,V2.0,V4.000.0000001.3.R,V4.000.0000001.3.R,V5.21.0.240319.12466932,23.12(V3.1.0.1787642),V2.4.1,V2.4,,,,,,,,,
SRM,1,4L0329EPAZE5E6B,192.168.1.21,37777,9C:14:63:27:FB:D8,English,DVR,DH-XVR5216AN-X,23-08-18,12.0V 5.0A,16,16/24,300Mbps,4TB & 4TB,V1.0,4.000.0000001.9,4.000.0000001.9,3.2.7.101581,16.12(V1.2.2.596777),NULL,V1.2,,,,,,,,,
SRM,2,5E09C17PAZD8290,192.168.1.22,37780,A0:BD:1D:03:5E:82,English,DVR,DH-XVR1B16H,02-04-19,12.0V 5.0A,16,16/24,300Mbps,2TB,V1.0,V4.000.0000002.4.R,V4.000.0000002.4.R,V3.2.7.113072,16.12(V1.2.3.675222),NULL,V2.0,,,,,,,,,
SRM,3,AH06F45PAZE322D,192.168.1.22,37782,f8:ce:07:67:76:a0,Chinese,HCVR,DH/HCVR5232AN-V7/-AF-DVR-II-A/32-1,08-04-24,250.0V 13.0A,24,32/48,300Mbps,16TB,V2.0,V4.000.0000001.3.R,V4.000.0000001.3.R,V5.21.0.240319.12466932,23.12(V3.1.0.1787642),V2.4.1,V2.4,,,,,,,,,
TAG,1,5E09246PAZE5ABF,192.168.1.4,37777(Router1),9C:14:63:F9:29:8F,English,HCVR,DH-XVR5116HS-X,02-04-19,12.0V 2.0A,16,16/24,1.0Gbps,4TB,V1.0,V4.000.0000002.4.R,V4.000.0000002.4.R,V3.2.7.113072,16.12(V1.2.3.675222),NULL,V2.0,,Left Corner of CEO office,,,,,,,
TAG,2,5E09246PAZ60A93,192.168.1.5,37780(Router1),9C:14:63:F9:29:A0,English,HCVR,DH-XVR5116HS-X,02-04-19,12.0V 2.0A,16,16/24,1.0Gbps,4TB,V1.0,V4.000.0000002.4.R,V4.000.0000002.4.R,V3.2.7.113072,16.12(V1.2.3.675222),NULL,V2.0,,Left Corner of CEO office,,,,,,,
